Player,Stat Type,Prop Line,Higher Payout,Lower Payout
Joel Embiid,Points,27.5,1,1
Gradey Dick,Points,13.5,1,1
Immanuel Quickley,Points,16.5,1,1
Scottie Barnes,Points,20.5,1,1
Brandon Clarke,Points,7.5,1,1
Devin Booker,Points,27.5,1,1
Desmond Bane,Points,20.5,1,1
Kevin Durant,Points,26.5,1,1
GG Jackson II,Points,9.5,1,1
Nick Richards,Points,8.5,1,1
Ja Morant,Points,19.5,1,1
Tyus Jones,Points,11.5,1,1
Jaren Jackson Jr.,Points,21.5,1,1
Jaylen Wells,Points,6.5,1,1
Santi Aldama,Points,9.5,1,1
Zach Edey,Points,6.5,1,1
Brandon Clarke,Points,4.5,1,1
Brandon Clarke,Points,12.5,1,1
Desmond Bane,Points,14.5,1,1
Desmond Bane,Points,26.5,1,1
Devin Booker,Points,21.5,1,1
Devin Booker,Points,35.5,1,1
Ja Morant,Points,14.5,1,1
Ja Morant,Points,26.5,1,1
Jaren Jackson Jr.,Points,16.5,1,1
Jaren Jackson Jr.,Points,29.5,1,1
Jaylen Wells,Points,3.5,1,1
Jaylen Wells,Points,11.5,1,1
Kevin Durant,Points,20.5,1,1
Kevin Durant,Points,34.5,1,1
Luke Kennard,Points,4.5,1,1
Luke Kennard,Points,10.5,1,1
Nick Richards,Points,5.5,1,1
Nick Richards,Points,12.5,1,1
Santi Aldama,Points,5.5,1,1
Santi Aldama,Points,14.5,1,1
Tyus Jones,Points,7.5,1,1
Tyus Jones,Points,17.5,1,1
Zach Edey,Points,4.5,1,1
Zach Edey,Points,11.5,1,1
