Player,Current Team,Opponent Team,Stat Type,Prop Line,Higher Payout,Lower Payout
Zach LaVine,SAC,NOP,points,22.5,1,1
Zach LaVine,SAC,NOP,pts_rebs_asts,31.5,1,1
Zach LaVine,SAC,NOP,period_1_pts_rebs_asts,6.5,1,1
Zach LaVine,SAC,NOP,period_1_points,3.5,1,1
DeMar DeRozan,SAC,NOP,points,20.5,1,1
DeMar DeRozan,SAC,NOP,pts_rebs_asts,28.5,1,1
DeMar DeRozan,SAC,NOP,period_1_points,4.5,1,1
DeMar DeRozan,SAC,NOP,assists,3.5,1,1
Keegan Murray,SAC,NOP,points,12.5,1,1
Keegan Murray,SAC,NOP,pts_rebs_asts,20.5,1,1
Keegan Murray,SAC,NOP,period_1_points,2.5,1,1
Keegan Murray,SAC,NOP,rebounds,6.5,1,1
Keon Ellis,SAC,NOP,points,9.5,1,1
Keon Ellis,SAC,NOP,pts_rebs_asts,14.5,1,1
Keon Ellis,SAC,NOP,assists,1.5,1,1
Keon Ellis,SAC,NOP,rebounds,3.5,1,1
Domantas Sabonis,SAC,NOP,points,18.5,1,1
Domantas Sabonis,SAC,NOP,pts_rebs_asts,39.5,1,1
Domantas Sabonis,SAC,NOP,period_1_points,5.5,1,1
Domantas Sabonis,SAC,NOP,period_1_pts_rebs_asts,11.5,1,1
Jonas Valanciunas,SAC,NOP,points,6.5,1,1
Jonas Valanciunas,SAC,NOP,pts_rebs_asts,14.5,1,1
Jonas Valanciunas,SAC,NOP,assists,1.5,1,1
Jonas Valanciunas,SAC,NOP,period_1_points,1.5,1,1
Malik Monk,SAC,NOP,points,19.5,1,1
Malik Monk,SAC,NOP,pts_rebs_asts,29.5,1,1
Malik Monk,SAC,NOP,period_1_points,4.5,1,1
Malik Monk,SAC,NOP,period_1_pts_rebs_asts,8.5,1,1
Trey Lyles,SAC,NOP,points,3.5,1,1
Trey Lyles,SAC,NOP,pts_rebs_asts,5.5,1,1
Trey Lyles,SAC,NOP,assists,0.5,1,1
Trey Lyles,SAC,NOP,rebounds,1.5,1,1
Jake LaRavia,SAC,NOP,points,2.5,1,1
Jake LaRavia,SAC,NOP,pts_rebs_asts,6.5,1,1
Jake LaRavia,SAC,NOP,rebounds,2.5,1,1
Jake LaRavia,SAC,NOP,assists,1.5,1,1
Jimmy Butler,GSW,HOU,points,19.5,1,1
Jimmy Butler,GSW,HOU,rebounds,5.5,1,1
Jimmy Butler,GSW,HOU,assists,5.5,1,1
Jimmy Butler,GSW,HOU,period_1_points,4.5,1,1
Buddy Hield,GSW,HOU,points,12.5,1,1
Buddy Hield,GSW,HOU,pts_rebs_asts,17.5,1,1
Buddy Hield,GSW,HOU,rebounds,3.5,1,1
Buddy Hield,GSW,HOU,assists,1.5,1,1
Stephen Curry,GSW,HOU,points,25.5,1,1
Stephen Curry,GSW,HOU,pts_rebs_asts,35.5,1,1
Stephen Curry,GSW,HOU,assists,5.5,1,1
Stephen Curry,GSW,HOU,rebounds,3.5,1,1
Draymond Green,GSW,HOU,points,7.5,1,1
Draymond Green,GSW,HOU,pts_rebs_asts,18.5,1,1
Draymond Green,GSW,HOU,period_1_points,1.5,1,1
Draymond Green,GSW,HOU,assists,4.5,1,1
Anthony Edwards,MIN,OKC,points,29.5,1,1
Anthony Edwards,MIN,OKC,pts_rebs_asts,41.5,1,1
Anthony Edwards,MIN,OKC,period_1_pts_rebs_asts,12.5,1,1
Anthony Edwards,MIN,OKC,assists,5.5,1,1
Rudy Gobert,MIN,OKC,points,11.5,1,1
Rudy Gobert,MIN,OKC,pts_rebs_asts,24.5,1,1
Rudy Gobert,MIN,OKC,period_1_points,2.5,1,1
Rudy Gobert,MIN,OKC,assists,1.5,1,1
Jaden McDaniels,MIN,OKC,points,13.5,1,1
Jaden McDaniels,MIN,OKC,pts_rebs_asts,21.5,1,1
Jaden McDaniels,MIN,OKC,period_1_points,2.5,1,1
Jaden McDaniels,MIN,OKC,rebounds,6.5,1,1
Mike Conley,MIN,OKC,points,10.5,1,1
Mike Conley,MIN,OKC,pts_rebs_asts,18.5,1,1
Mike Conley,MIN,OKC,rebounds,2.5,1,1
Mike Conley,MIN,OKC,assists,5.5,1,1
Naz Reid,MIN,OKC,points,18.5,1,1
Naz Reid,MIN,OKC,pts_rebs_asts,28.5,1,1
Naz Reid,MIN,OKC,rebounds,7.5,1,1
Naz Reid,MIN,OKC,assists,2.5,1,1
Kyrie Irving,DAL,MIA,points,27.5,1,1
Kyrie Irving,DAL,MIA,pts_rebs_asts,38.5,1,1
Kyrie Irving,DAL,MIA,assists,4.5,1,1
Kyrie Irving,DAL,MIA,rebounds,5.5,1,1
Klay Thompson,DAL,MIA,points,16.5,1,1
Klay Thompson,DAL,MIA,pts_rebs_asts,23.5,1,1
Klay Thompson,DAL,MIA,period_1_points,3.5,1,1
Klay Thompson,DAL,MIA,assists,2.5,1,1
Naji Marshall,DAL,MIA,points,13.5,1,1
Naji Marshall,DAL,MIA,pts_rebs_asts,21.5,1,1
Naji Marshall,DAL,MIA,assists,2.5,1,1
Naji Marshall,DAL,MIA,rebounds,5.5,1,1
Olivier-Maxence Prosper,DAL,MIA,points,9.5,1,1
Olivier-Maxence Prosper,DAL,MIA,pts_rebs_asts,19.5,1,1
Olivier-Maxence Prosper,DAL,MIA,period_1_points,2.5,1,1
Olivier-Maxence Prosper,DAL,MIA,assists,2.5,1,1
Max Christie,DAL,MIA,points,14.5,1,1
Max Christie,DAL,MIA,pts_rebs_asts,23.5,1,1
Max Christie,DAL,MIA,rebounds,5.5,1,1
Max Christie,DAL,MIA,period_1_points,3.5,1,1
Kessler Edwards,DAL,MIA,blks_stls,2.0,1,1
Lauri Markkanen,UTA,LAC,points,19.5,1,1
Lauri Markkanen,UTA,LAC,pts_rebs_asts,25.5,1,1
Lauri Markkanen,UTA,LAC,assists,0.5,1,1
Lauri Markkanen,UTA,LAC,rebounds,5.5,1,1
John Collins,UTA,LAC,points,17.5,1,1
John Collins,UTA,LAC,pts_rebs_asts,26.5,1,1
John Collins,UTA,LAC,period_1_pts_rebs_asts,6.5,1,1
John Collins,UTA,LAC,assists,1.5,1,1
Collin Sexton,UTA,LAC,free_throws_made,4.0,1,1
Collin Sexton,UTA,LAC,turnovers,2.5,1,1
Keyonte George,UTA,LAC,points,17.5,1,1
Keyonte George,UTA,LAC,pts_rebs_asts,26.5,1,1
Keyonte George,UTA,LAC,period_1_points,3.5,1,1
Keyonte George,UTA,LAC,rebounds,3.5,1,1
Walker Kessler,UTA,LAC,points,11.5,1,1
Walker Kessler,UTA,LAC,pts_rebs_asts,23.5,1,1
Walker Kessler,UTA,LAC,rebounds,11.5,1,1
Walker Kessler,UTA,LAC,assists,1.5,1,1
Isaiah Collier,UTA,LAC,points,10.5,1,1
Isaiah Collier,UTA,LAC,pts_rebs_asts,23.5,1,1
Isaiah Collier,UTA,LAC,rebounds,3.5,1,1
Isaiah Collier,UTA,LAC,period_1_points,2.5,1,1
