Player,Current Team,Opponent Team,Stat Type,Prop Line,Higher Payout,Lower Payout
Zach LaVine,SAC,NOP,points,22.5,1,1
Zach LaVine,SAC,NOP,pts_rebs_asts,30.5,1,1
Zach LaVine,SAC,NOP,assists,4.5,1,1
Zach LaVine,SAC,NOP,rebounds,4.5,1,1
DeMar DeRozan,SAC,NOP,points,21.5,1,1
DeMar DeRozan,SAC,NOP,pts_rebs_asts,28.5,1,1
DeMar DeRozan,SAC,NOP,period_1_pts_rebs_asts,7.5,1,1
DeMar DeRozan,SAC,NOP,period_1_points,4.5,1,1
Keegan Murray,SAC,NOP,points,12.5,1,1
Keegan Murray,SAC,NOP,pts_rebs_asts,20.5,1,1
Keegan Murray,SAC,NOP,period_1_points,2.5,1,1
Keegan Murray,SAC,NOP,assists,1.5,1,1
Malik Monk,SAC,NOP,points,19.5,1,1
Malik Monk,SAC,NOP,pts_rebs_asts,30.0,1,1
Malik Monk,SAC,NOP,assists,6.5,1,1
Malik Monk,SAC,NOP,rebounds,3.5,1,1
Keon Ellis,SAC,NOP,points,9.5,1,1
Keon Ellis,SAC,NOP,pts_rebs_asts,14.5,1,1
Keon Ellis,SAC,NOP,assists,1.5,1,1
Keon Ellis,SAC,NOP,rebounds,3.5,1,1
Domantas Sabonis,SAC,NOP,points,18.5,1,1
Domantas Sabonis,SAC,NOP,pts_rebs_asts,39.5,1,1
Domantas Sabonis,SAC,NOP,assists,6.5,1,1
Domantas Sabonis,SAC,NOP,rebounds,14.5,1,1
Jonas Valanciunas,SAC,NOP,points,6.5,1,1
Jonas Valanciunas,SAC,NOP,pts_rebs_asts,13.5,1,1
Jonas Valanciunas,SAC,NOP,assists,1.5,1,1
Jonas Valanciunas,SAC,NOP,period_1_points,1.5,1,1
Trey Lyles,SAC,NOP,points,2.5,1,1
Trey Lyles,SAC,NOP,pts_rebs_asts,5.5,1,1
Trey Lyles,SAC,NOP,assists,0.5,1,1
Trey Lyles,SAC,NOP,rebounds,1.5,1,1
Jake LaRavia,SAC,NOP,points,2.5,1,1
Jake LaRavia,SAC,NOP,pts_rebs_asts,6.5,1,1
Jake LaRavia,SAC,NOP,assists,0.5,1,1
Jake LaRavia,SAC,NOP,rebounds,2.5,1,1
Stephen Curry,GSW,HOU,points,25.5,1,1
Stephen Curry,GSW,HOU,pts_rebs_asts,35.5,1,1
Stephen Curry,GSW,HOU,period_1_points,5.5,1,1
Stephen Curry,GSW,HOU,assists,5.5,1,1
Brandin Podziemski,GSW,HOU,points,10.5,1,1
Brandin Podziemski,GSW,HOU,pts_rebs_asts,19.5,1,1
Brandin Podziemski,GSW,HOU,rebounds,4.5,1,1
Brandin Podziemski,GSW,HOU,period_1_points,2.5,1,1
Kevon Looney,GSW,HOU,points,3.5,1,1
Kevon Looney,GSW,HOU,pts_rebs_asts,11.5,1,1
Kevon Looney,GSW,HOU,rebounds,5.5,1,1
Kevon Looney,GSW,HOU,assists,1.5,1,1
Quinten Post,GSW,HOU,points,6.5,1,1
Quinten Post,GSW,HOU,pts_rebs_asts,11.5,1,1
Quinten Post,GSW,HOU,rebounds,3.5,1,1
Quinten Post,GSW,HOU,period_1_points,2.5,1,1
