Player,Opponent,Stat Type,Prop Line,Predicted Value,Variance,Edge,Bet Odds,Implied Probability,EV,Kelly Fraction,Optimal Bet
Klay Thompson,GSW,points,14.5,17.27,61.48,2.7699999999999996,1.9,0.5263157894736842,4.789315789473683,0.04505530180456568,22.52765090228284
Klay Thompson,GSW,pts_rebs_asts,20.5,23.22,66.43,2.719999999999999,1.9,0.5263157894736842,4.6943157894736816,0.040945355397480704,20.472677698740352
Brandin Podziemski,GSW,assists,3.5,4.26,4.26,0.7599999999999998,1.9,0.5263157894736842,0.9703157894736837,0.17840371398973845,89.20185699486923
Jimmy Butler,GSW,points,19.5,19.84,35.57,0.33999999999999986,1.9,0.5263157894736842,0.17231578947368387,0.009558616543193234,4.779308271596617
Kyrie Irving,GSW,assists,5.5,5.75,3.82,0.25,1.9,0.5263157894736842,0.001315789473684159,0.06544500904580915,32.72250452290457
Stephen Curry,GSW,assists,5.5,5.72,5.66,0.21999999999999975,1.9,0.5263157894736842,-0.055684210526316336,0.038869251083171144,19.43462554158557
Jimmy Butler,GSW,assists,5.5,5.42,5.81,-0.08000000000000007,2.1,0.47619047619047616,-0.691809523809524,-0.013769360797011923,0.0
Buddy Hield,GSW,assists,2.5,2.39,2.58,-0.10999999999999988,2.1,0.47619047619047616,-0.7548095238095236,-0.04263564238928584,0.0
Stephen Curry,GSW,rebounds,4.5,4.35,5.56,-0.15000000000000036,2.1,0.47619047619047616,-0.8388095238095246,-0.026978412413954666,0.0
Klay Thompson,GSW,assists,2.5,2.28,2.27,-0.2200000000000002,2.1,0.47619047619047616,-0.9858095238095242,-0.09691625686508516,0.0
Brandin Podziemski,GSW,points,11.5,10.96,44.01,-0.5399999999999991,2.1,0.47619047619047616,-1.6578095238095223,-0.012269938371507859,0.0
Draymond Green,GSW,rebounds,6.5,5.95,7.0,-0.5499999999999998,2.1,0.47619047619047616,-1.6788095238095235,-0.07857141734694036,0.0
Kyrie Irving,GSW,rebounds,5.5,4.52,6.6,-0.9800000000000004,2.1,0.47619047619047616,-2.581809523809525,-0.14848482598714766,0.0
